,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
25502,,"['enjoyed', 'seat', 'wasnt', 'privacy', 'plenty', 'room', 'seat', 'comfortable', 'easy', 'adjust', 'slightly', 'curved', 'sleeping', 'position', 'room', 'scoot', 'seat', 'disturb', 'passenger', 'wasnt', 'cold', 'window', 'seating', 'overall', 'config', 'reminded', 'old', 'american', 'airlines', '777200s', 'nicer', 'seats', 'bigger', 'screen', 'qatar', 'provided', 'pajamas', 'amenity', 'kit', 'problem', 'sleeping', 'flight', 'whatsoever', 'qatar', 'service', 'food', 'best', 'ive', 'three', 'year', 'aa', 'exp', '450k', 'miles', 'years']",,['equipment'],1,['equipment'],1,
28397,,"['agree', 'seats', 'near', 'galley', 'prone', 'disturbance', 'cabin', 'crew', 'noisy', 'galley', 'talking', 'banging', 'carts']",,,0,[],0,
14977,f,"['went', 'plane', 'mxp', 'jfk', 'plane', 'horrible', 'one', 'meal', 'hour', 'flight', 'entertainment', 'overhead', 'screens', 'watch', 'two', 'movies', 'crew', 'rest', 'middle', 'flight', 'legroom', 'width']",0.7677000164985657,"['quality', 'meal', 'seat', 'flight']",4,"['flight', 'seat', 'quality', 'meal']",4,"flight, plane, american_airlines, crew, people, airline, class, airport, problem, food"
19086,j,"['footrest', 'tv', 'overhead', 'crew', 'rest', 'area', 'row']",0.54830002784729,"['seat', 'row_26', 'easyjet', 'aircraft', 'seat', 'window', 'row', 'toilet', 'block', 'toilet', 'bulkhead', 'seat', 'row_26']",13,"['seat', 'row', 'row_26', 'block', 'easyjet', 'bulkhead', 'toilet', 'aircraft', 'window']",9,"flight, plane, service, way, aircraft, staff, airline, food, crew, experience"
28810,,"['united', 'jammed', 'additional', 'row', 'economy', 'plus', 'aircraft', 'appears', 'one', 'two', 'economy', 'plus', 'rows', 'actually', 'larger', 'standard', 'rows', 'additional', 'row', 'labeled', 'row', '15', 'row', '15', 'seat', 'map']",,,0,[],0,
23750,,"['london', 'seoul', 'prestige', 'class', 'chose', 'seat', '15h', 'reading', 'review', 'window', 'middle', 'seat', 'passengers', 'having', 'clamber', 'passenger', 'seated', 'glad', 'easy', 'aisle', 'access', 'service', 'food', 'amazed', 'cooked', 'steak', 'drink', 'service', 'small', 'glasses', 'ups', 'bit', 'frequent', 'flight', 'fly', 'korean', 'airlines', 'sure', 'wish', 'place', '777300', '7478', 'flew', 'seoul', 'auckland', 'day', 'wonderful', 'aircraft', 'room', '77300']",,"['seat', 'individual_air_vents', 'recommend', 'window', 'seat', 'air_vents']",6,"['seat', 'air_vents', 'recommend', 'individual_air_vents', 'window']",5,
12825,h,"['flown', 'times', 'air', 'canada', 'recently', 'business', 'class', 'seats', 'flat', 'beds', 'uncomfortable', 'experienced', 'pods', 'small', 'little', 'space', 'things', 'need', 'flight', 'book', 'biscuits', 'makeup', 'cabin', 'crew', 'didnt', 'super', 'helpful', 'friendly', 'review', 'air', 'canada', 'flights', 'doesnt', 'isolated', 'occasion']",0.3160000145435333,"['long_haul', 'flight', 'seat', 'neck', 'person_reclines', 'addition', 'entertainment_box', 'area', 'foot', 'force', 'extremely_uncomfortable', 'spread', 'avoid_costs']",13,"['neck', 'seat', 'addition', 'entertainment_box', 'force', 'flight', 'spread', 'extremely_uncomfortable', 'person_reclines', 'area', 'long_haul', 'avoid_costs', 'foot']",13,"flight, plane, food, service, passenger, economy, staff, airline, crew, aircraft"
29193,,"['airplane', 'loud', 'suggest', 'bringing', 'ear', 'plugs', 'music', 'time', 'carry', 'need', 'gate', 'checked']",,,0,[],0,
29390,,"['plus', 'seat', 'exit', 'row', 'dont', 'worry', 'reclining', 'negative', 'overhead', 'space', 'want', 'use', 'bin', 'seat', 'disruptive', 'possible', 'seat', 'emergency', 'equipment', 'stored', 'bin', 'aisle', 'premium', 'economy', 'seats', 'pretty', 'wide', 'moving', 'cabin', 'easy', 'window', 'seats', 'upper', 'deck', 'ledge', 'window', 'convenient', 'placing', 'bits', 'bobs', 'seat', 'pockets', 'small']",,,0,[],0,
14613,l,"['flown', 'q400', 'times', 'sat', 'different', 'areas', 'plane', 'compared', 'turbo', 'props', 'ive', 'fairly', 'quiet', 'aircraft', 'smooth', 'mainly', 'fly', 'boipdx', 'sea', 'route', 'mrysan', 'route', 'ill', 'flying', 'july', 'boipdx', 'route', 'comfortable', 'stay', 'service', 'years', 'come']",0.767799973487854,"['plenty_leg_space', 'hour', 'flight']",3,"['flight', 'plenty_leg_space', 'hour']",3,"flight, service, food, passenger, plane, crew, window, business_class, class, meal"
18756,a,"['seat', 'extra', 'legspace', 'position', 'toilet', 'premium', 'economy', 'left', 'plane', 'means', 'passengers', 'right', 'continuously', 'try', 'use', 'legspace', 'walkway', 'causing', 'disturbance', 'standing', 'left', 'floor']",0.0714000016450882,['seat'],1,['seat'],1,"flight, airline, service, crew, passenger, american_airlines, food, airport, staff, aircraft"
